DescriptorName,TreeNumber
Calcimycin,D03.633.100.221.173
Temefos,D02.705.400.625.800
Temefos,D02.705.539.345.800
Temefos,D02.886.300.692.800
Abattoirs,J01.576.423.200.700.100
Abattoirs,J03.540.020
Abbreviations as Topic,L01.559.598.400.556.131
Abdomen,A01.923.047
"Abdomen, Acute",C23.888.592.612.054.200
"Abdomen, Acute",C23.888.821.030.249
Abdominal Injuries,C26.017
Abdominal Neoplasms,C04.588.033
Abdominal Muscles,A02.633.567.050
Abducens Nerve,A08.800.800.120.030
Abelson murine leukemia virus,B04.613.807.375.525.020
Abelson murine leukemia virus,B04.820.650.375.525.020
Abetalipoproteinemia,C16.320.565.398.500.440.500
Abetalipoproteinemia,C18.452.584.500.875.440.500
Abetalipoproteinemia,C18.452.584.563.500.440.500
Abetalipoproteinemia,C18.452.648.398.500.440.500
Congenital Abnormalities,C16.131
"Abnormalities, Drug-Induced",C16.131.042
"Abnormalities, Multiple",C16.131.077
"Abnormalities, Radiation-Induced",C16.131.080
"Abnormalities, Radiation-Induced",C26.733.031
"Abnormalities, Radiation-Induced",G01.750.748.500.031
"Abnormalities, Radiation-Induced",N06.850.460.350.850.500.031
"Abnormalities, Radiation-Induced",N06.850.810.300.360.031
ABO Blood-Group System,D23.050.301.290.031
ABO Blood-Group System,D23.050.705.230.031
Abomasum,A13.869.106
Abortifacient Agents,D27.505.696.875.131
Abortifacient Agents,D27.505.954.705.131
"Abortifacient Agents, Nonsteroidal",D27.505.696.875.131.100
"Abortifacient Agents, Nonsteroidal",D27.505.954.705.131.100
"Abortifacient Agents, Steroidal",D27.505.696.875.131.200
"Abortifacient Agents, Steroidal",D27.505.954.705.131.200
"Abortion, Spontaneous",C12.050.703.039
"Abortion, Spontaneous",G08.686.784.769.496.125
Abortion Applicants,M01.050
"Abortion, Criminal",I01.198.240.089
"Abortion, Eugenic",E04.520.050.050
"Abortion, Habitual",C12.050.703.039.089
"Abortion, Incomplete",C12.050.703.039.093
"Abortion, Induced",E04.520.050
"Abortion, Legal",E04.520.050.055
"Abortion, Missed",C12.050.703.039.173
"Abortion, Septic",C01.674.173
"Abortion, Septic",C12.050.703.039.256
"Abortion, Septic",C12.050.703.700.173
"Abortion, Therapeutic",E04.520.050.060
"Abortion, Threatened",C12.050.703.090
"Abortion, Veterinary",C12.050.703.039.422
"Abortion, Veterinary",C22.021
Abreaction,F04.754.720.107
Abrin,D08.811.277.450.430.700.750.111
Abrin,D12.776.503.499.249
Abrin,D12.776.765.678.906.111
Abruptio Placentae,C12.050.703.420.078
Abruptio Placentae,C12.050.703.590.132
Abscess,C01.830.025
Abscess,C23.550.470.756.100
Peritonsillar Abscess,C01.748.561.750.500
Peritonsillar Abscess,C01.830.025.675
Peritonsillar Abscess,C07.550.781.750.500
Peritonsillar Abscess,C08.730.561.750.500
Peritonsillar Abscess,C09.775.649.750.500
Abscisic Acid,D02.241.223.268.034
Abscisic Acid,D02.455.326.271.665.202.061
Abscisic Acid,D02.455.426.392.368.367.379.249.024
Abscisic Acid,D02.455.849.131.061
Abscisic Acid,D02.455.849.765.521.500
Absenteeism,F02.784.692.107
Absorption,G01.015
Absorption,G02.010
Absorption,G03.015
Absorption,G03.787.024
Absorption,G07.690.725.015
Abstracting and Indexing,L01.462.750.245.100
Dental Abutments,E06.780.346.500
Dental Abutments,E07.695.190.175
Acacia,B01.875.800.575.912.250.401.025
Academic Medical Centers,N02.278.020
Academies and Institutes,N03.540.052
Acanthamoeba,B01.046.500.100.075.080
Acanthocephala,B01.050.500.500.132
Acanthocytes,A11.118.290.330.100
Acanthocytes,A11.443.240.330.100
Acanthocytes,A15.145.229.334.330.100
Acantholysis,C17.800.865.070
Acantholysis,C23.550.035
Acanthosis Nigricans,C17.800.621.430.530.100
Acari,B01.050.500.131.166.132
Acceleration,G01.482.107
Accessory Nerve,A08.800.800.120.060
Accident Prevention,N06.850.135.060
Accident Proneness,F01.145.015
Accidental Falls,N06.850.135.122
Accidents,N06.850.135
"Accidents, Aviation",N06.850.135.185
"Accidents, Home",N06.850.135.217
"Accidents, Occupational",N06.850.135.240
"Accidents, Traffic",N06.850.135.392
Acclimatization,G07.025.133
Acclimatization,G16.012.500.133
"Accommodation, Ocular",G14.010
Accounting,N03.219.463.030
Oil and Gas Industry,J01.576.655.875.750
Coal Industry,J01.576.655.875.200
Driving Under the Influence,F01.145.250.250
Driving Under the Influence,F01.145.263.500
Driving Under the Influence,I01.880.735.223.250
Driving Under the Influence,I03.125.649
Human Embryonic Stem Cells,A11.872.700.250.750
Mouse Embryonic Stem Cells,A11.872.700.250.875
Embryonic Germ Cells,A11.497.124
Embryonic Germ Cells,A11.872.700.250.625
Work Performance,I03.946.675
Criminal Behavior,F01.145.250
Clinical Decision-Making,E01.055
Cognitive Aging,G07.345.124.260
Cognitive Neuroscience,F04.096.628.255.500
Cognitive Neuroscience,H01.158.610.030
Emotional Adjustment,F01.058.144
Emotional Adjustment,F01.752.543.500.250
Facial Recognition,F02.463.593.524.250.500
Facial Recognition,F02.463.593.524.500.500
Facial Recognition,F02.463.593.932.622.500
Grandparents,F01.829.263.403
Grandparents,I01.880.853.150.452
Grandparents,M01.264
Help-Seeking Behavior,F01.145.813.217
Heuristics,F02.463.425.725.500
Heuristics,F02.463.785.810.500
Intimate Partner Violence,I01.198.240.856.575
Intimate Partner Violence,I01.880.735.900.688
Neurological Rehabilitation,E02.760.169.063.500.477
Neurological Rehabilitation,E02.831.477
Neurological Rehabilitation,H02.403.680.600.750
Neurological Rehabilitation,N02.421.784.511
Physical Abuse,I01.198.240.856.688
Physical Abuse,I01.880.735.900.744
Problem Behavior,F01.145.126.972
Problem Behavior,F01.145.179.750
Underage Drinking,F01.145.022.750
Underage Drinking,F01.145.317.269.875
Underage Drinking,I01.880.735.878
Ectopic Gene Expression,G05.308.202
Cell Plasticity,G04.356.250
Cell Self Renewal,G04.144.220.235
Cell Self Renewal,G04.161.750.500.375
Cell Self Renewal,G05.113.415
Cell Self Renewal,G07.345.249.410.750.500.625
Rehabilitation Research,H01.770.644.145.472
Orthodontists,M01.526.485.330.655
Orthodontists,N02.360.330.655
Oral and Maxillofacial Surgeons,M01.526.485.330.483
Oral and Maxillofacial Surgeons,M01.526.485.810.910.813
Oral and Maxillofacial Surgeons,N02.360.330.483
Oral and Maxillofacial Surgeons,N02.360.810.910.813
Neuroprotection,G11.561.645
"Diet, Food, and Nutrition",G07.203
Triticale,B01.875.800.575.912.250.822.906
Critical Care Outcomes,N04.761.559.590.399.250
Critical Care Outcomes,N05.715.360.575.575.399.250
Simulation Training,I02.903.847
Millets,B01.875.800.575.912.250.822.587
Biobehavioral Sciences,H01.770.644.108.687
Protein Corona,D12.776.791
Vegetarians,M01.928
Vegans,M01.928.500
Accounts Payable and Receivable,N03.219.463.030.080
Youth Sports,I03.450.642.845.987
Literacy,F01.145.209.429
Literacy,N01.824.196.500
Severe Acute Malnutrition,C18.654.521.719
"Banking, Personal",N03.219.463.030.100
Evidence-Based Facility Design,N02.278.200.252
